id,mes,data_registro,placa,item,fonte,tipo_manutencao,status,ordem_servico,conclusao,data_servico
315,SETEMBRO,2025-09-29,GAT4I12,VAZAMENTO DE AR,CHECKLIST,CORRETIVA,PENDENTE,,,
316,SETEMBRO,2025-09-29,GAT4I12,PLACA DE SIMBOLOGIA PRECISANDO PINTAR,CHECKLIST,CORRETIVA,PENDENTE,,,
317,SETEMBRO,2025-09-30,RGF6G22,ABS DO CAVALO,CHECKLIST,CORRETIVA,PENDENTE,,,
318,SETEMBRO,2025-09-30,RGH2G88,REPARO DE PINTURA NOS TANQUES DAS CARRETAS,CHECKLIST,CORRETIVA,PENDENTE,,,
319,SETEMBRO,2025-09-30,GAT5I92,INFILTRAÇÃO PARABRISA,CHECKLIST,CORRETIVA,PENDENTE,,,
320,SETEMBRO,2025-09-30,GAT5I92,PLACAS ILEGÍVEIS ,CHECKLIST,CORRETIVA,PENDENTE,,,
321,OUTUBRO,2025-10-06,QGR9768,CAVALO VIBRANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
322,OUTUBRO,2025-10-06,QGR9768,FOLGA QUINTA RODA,CHECKLIST,CORRETIVA,PENDENTE,,,
323,OUTUBRO,2025-10-06,QGR9768,BAIXANDO AGUA,CHECKLIST,CORRETIVA,PENDENTE,,,
324,OUTUBRO,2025-10-06,QGW7E84,FALHA NA PARTE ELÉTRICA DA ARLA,CHECKLIST,CORRETIVA,PENDENTE,,,
325,OUTUBRO,2025-10-06,GAT2I32,VAZAMENTO NAS TAMPAS DE VISITA,CHECKLIST,CORRETIVA,PENDENTE,,,
326,OUTUBRO,2025-10-06,QGQ9F26,PORTA MANGOTE DE 5M DANIFICADO,CHECKLIST,CORRETIVA,PENDENTE,,,
327,OUTUBRO,2025-10-06,QGQ9F26,ADAPTADOR DO BOTOM VAZANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
328,OUTUBRO,2025-10-06,QGQ9F26,LAMPADA DO TETO QUEIMADO,CHECKLIST,CORRETIVA,PENDENTE,,,
329,OUTUBRO,2025-10-08,RGH2G88,LAVAGEM DO CONJUNTO,CHECKLIST,CORRETIVA,PENDENTE,,,
330,OUTUBRO,2025-10-13,QGW7E84,CAMINHÃ CONSUMINDO MUITO COMBUSTÍVEL,CHECKLIST,CORRETIVA,PENDENTE,,,
331,OUTUBRO,2025-10-13,GAT3J67,PANCADA DO LADO ESQUERDO ,CHECKLIST,CORRETIVA,PENDENTE,,,
332,OUTUBRO,2025-10-13,GAT3J67,EMBUCHAMENTO DA QUINTA RODA ESTOURADO,CHECKLIST,CORRETIVA,PENDENTE,,,
333,OUTUBRO,2025-10-13,GAT3J67,BATERIAS COM DEFEITO,CHECKLIST,CORRETIVA,PENDENTE,,,
334,OUTUBRO,2025-10-13,GAT6A83,CALIBRAGEM DOS PNEUS,CHECKLIST,CORRETIVA,PENDENTE,,,
335,OUTUBRO,2025-10-13,GAT4I12,CARRETA COM DOIS PNEUS SOLTANDO A BANDAGEM,CHECKLIST,CORRETIVA,PENDENTE,,,
336,OUTUBRO,2025-10-13,GAT4I12,CONJUNTO COM OS FREIOS DE SERVIÇO RUINS,CHECKLIST,CORRETIVA,PENDENTE,,,
337,OUTUBRO,2025-10-13,GAT5D82,LAMPADA DAS TRES MARIAS QUEBRADA,CHECKLIST,CORRETIVA,PENDENTE,,,
338,OUTUBRO,2025-10-13,GAT5D82,TAMPA DE CARREGAMENTO DO TANQUE GAT5J61 COM VAZAMENTO,CHECKLIST,CORRETIVA,PENDENTE,,,
339,OUTUBRO,2025-10-13,QGV7B82,TACÓGRAFO COM FALHA DE CONEXÃO,CHECKLIST,CORRETIVA,PENDENTE,,,
340,,,GAT9I74,VERIFICAR PNEUS,,,,,,
341,,,GAT9I74,TAMPA DO BOTOM LADO ESQUERDO SUADO,,,,,,
342,,,GAT9I74,REGULAGEM DE FREIOS,,,,,,
343,,,GAT9I74,LAVAR CT,,,,,,
344,OUTUBRO,2025-10-13,GAT9I74,VERIFICAR PNEUS,CHECKLIST,CORRETIVA,PENDENTE,,,
345,OUTUBRO,2025-10-13,GAT9I74,TAMPA DO BOTOM LADO ESQUERDO SUADO,CHECKLIST,CORRETIVA,PENDENTE,,,
346,OUTUBRO,2025-10-13,GAT9I74,REGULAGEM DE FREIOS,CHECKLIST,CORRETIVA,PENDENTE,,,
347,OUTUBRO,2025-10-13,GAT9I74,LAVAR CT,CHECKLIST,CORRETIVA,PENDENTE,,,
348,OUTUBRO,2025-10-13,GAT6J84,COLOCAR RETROVISOR AUXILIAR LADO ESQUERDO,CHECKLIST,CORRETIVA,PENDENTE,,,
349,OUTUBRO,2025-10-13,GAT7G11,ALINHAR E BALANCEAR,CHECKLIST,CORRETIVA,PENDENTE,,,
350,OUTUBRO,2025-10-13,GAT7G11,RETROVISOR AUXILIAR LADO ESQUERDO,CHECKLIST,CORRETIVA,PENDENTE,,,
351,OUTUBRO,2025-10-14,QGW7F14,PLACA DO CAVALO COM AS LETRAS MUITO CLARAS,CHECKLIST,CORRETIVA,PENDENTE,,,
352,OUTUBRO,2025-10-14,QGW7F14,PNEU SUPORTE ESTÁ ESTOURADO,CHECKLIST,CORRETIVA,PENDENTE,,,
353,OUTUBRO,2025-10-14,QGW7F14,FORRO DA CABINE ESTÁ LARGANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
354,OUTUBRO,2025-10-14,QGW7F14,CAMA PRECISANDO DE REFORMA,CHECKLIST,CORRETIVA,PENDENTE,,,
355,OUTUBRO,2025-10-14,RGF6G22,FAZER CALIBRAGEM  DO CAMBIO,CHECKLIST,CORRETIVA,PENDENTE,,,
356,OUTUBRO,2025-10-14,RGF6G22,VAZAMENTO DE ÁGUA NO CARRO,CHECKLIST,CORRETIVA,PENDENTE,,,
357,OUTUBRO,2025-10-14,GAT5D32,1 CARRETA SEM PLACA,CHECKLIST,CORRETIVA,PENDENTE,,,
358,OUTUBRO,2025-10-20,QGW7E94,FAZER PREVENTIVA DAS CARRETAS,CHECKLIST,CORRETIVA,PENDENTE,,,
359,OUTUBRO,2025-10-20,QGW7E94,VERIFICAR VENTILADOR DO CLIMATIZADOR,CHECKLIST,CORRETIVA,PENDENTE,,,
360,OUTUBRO,2025-10-20,GAP2B64,ENTRANDO ÁGUA PELO PARABRISA E ATRÁS DO AR CONDICIONADO,CHECKLIST,CORRETIVA,PENDENTE,,,
361,OUTUBRO,2025-10-20,RGH2G88,TROCAR UM PNEU DA CARRETA E UM DO CAVALO,CHECKLIST,CORRETIVA,PENDENTE,,,
362,OUTUBRO,2025-10-20,RGF6G22,VIDRO DO LADO DO PASSAGEIRO ESTÁ COM PROBLEMA,CHECKLIST,CORRETIVA,PENDENTE,,,
363,OUTUBRO,2025-10-20,GAT4I12,BATERIA RUIM,CHECKLIST,CORRETIVA,PENDENTE,,,
364,OUTUBRO,2025-10-20,GAT4I12,O BALÃO COMPROMETENDO A MEDIA DO VEÍCULO,CHECKLIST,CORRETIVA,PENDENTE,,,
365,OUTUBRO,2025-10-20,QGV7B82,2.24 FAZER SUBSTITUIÇÃO DO MAGOTE,CHECKLIST,CORRETIVA,PENDENTE,,,
